ID,Start Date,Water Depth,Water Depth Unit,U.S. State,Latitude,Longitude,Algae Value,Algae Unit,Biomass Value,Biomass Unit,Biomass/chlorophyll ratio Value,Biomass/chlorophyll ratio Unit,Chlorophyll Value,Chlorophyll Unit,Cladophora Value,Cladophora Unit,Cyanobacteria Value,Cyanobacteria Unit,Diatoms Value,Diatoms Unit,Macroinvertebrates Value,Macroinvertebrates Unit,Periphyton Value,Periphyton Unit,Phycocyanin Value,Phycocyanin Unit
21COL001_WQX-2015CPW031-20140806_S-IVP,8/6/2014,0.0,"",CO,38.781462,-106.277662,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-CHTLKMLW1201807161800007.0F,7/16/2018,7.0,m,CO,39.54375,-105.077,0.0,"",0.0,"",0.0,"",0.0781,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20174RUA001-20160711_S-IVP,7/11/2016,0.0,"",CO,39.36512,-106.81537,0.0,"",0.0,"",0.0,"",1.4,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_381934107133500200307211245^01,7/21/2003,0.0,"",CO,38.32610537,-107.2269997,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_NPS_BM05_19970519_606344,5/19/1997,0.0,"",CO,38.4735,-107.0933056,0.0,"",0.0,"",0.0,"",22.82,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
SOUTHUTE-Rock Creek 08/02/2011P,8/2/2011,0.0,"",CO,37.105818,-107.632044,0.0,"",0.0,"",0.0,"",833.57,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-CHTLKND1201808131730008.0F,8/13/2018,8.0,m,CO,39.5542,-105.0608,0.0,"",0.0,"",0.0,"",0.1192,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-CCRLKML1201807161550000.1F,7/16/2018,0.1,m,CO,39.64175,-104.8562,0.0,"",0.0,"",0.0,"",0.1709,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2014CPW213-20130826_S-IVP,8/26/2013,0.0,"",CO,40.323942,-105.213217,0.0,"",0.0,"",0.0,"",0.59,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382829107122200200605241005^03,5/24/2006,1.0,m,CO,38.4747148,-107.2067198,0.0,"",0.0,"",0.0,"",2.44,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_383024107371800200208221132^01,8/22/2002,0.0,"",CO,38.5066535,-107.6222804,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
UC_REGION_USBOR_WQX-USBR_NRWQM_NRSJR342_20101005_2_F,10/5/2010,2.0,m,CO,37.0014,-107.419,0.0,"",0.0,"",0.0,"",2.5,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
SOUTHUTE-San Juan 1 08/01/2011P,8/1/2011,0.0,"",CO,37.032385,-107.151453,0.0,"",0.0,"",0.0,"",405.26,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2015CPW202-20150506_S-IVP,5/6/2015,0.0,"",CO,37.389448,-105.384722,0.0,"",0.0,"",0.0,"",2.71,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_381633107054700201209201115^01,9/20/2012,0.0,"",CO,38.27582757,-107.0969952,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20064013001-20050818_S-IVP,8/18/2005,0.0,"",CO,38.7127,-108.0397,0.0,"",0.0,"",0.0,"",3.4,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
SOUTHUTE-AR 2-7 09/28/2015P,9/28/2015,0.0,"",CO,37.03226,-107.8754,0.0,"",0.0,"",0.0,"",125.0,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20074017001-20060724_S-IVP,7/24/2006,0.0,"",CO,40.76827,-106.46861,0.0,"",0.0,"",0.0,"",1.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-10840-20070911-S-ROUTINE,9/11/2007,0.0,"",CO,38.359167,-108.711167,0.0,"",0.0,"",0.0,"",17.92,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
NARS_WQX-NRS_CO-10384:20190714:SR:,7/14/2019,0.0,"",CO,40.47044555,-108.5667253,0.0,"",0.0,"",0.0,"",4.31,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2014CPW050-20130618_S-IVP,6/18/2013,0.0,"",CO,40.701862,-106.460678,0.0,"",0.0,"",0.0,"",0.59,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382900107101600200408111510^01,8/11/2004,0.0,"",CO,38.48332555,-107.1717185,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382418107242600200606271640^01,6/27/2006,0.0,"",CO,38.4049908,-107.4078353,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_383103106594200201510080935^01,10/8/2015,0.0,"",CO,38.51749077,-106.9956012,0.0,"",178.13333333333333,g/m2,1530.0,None,14.4,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
SOUTHUTE-NPR7 05/23/2012P,5/23/2012,0.0,"",CO,37.152869,-107.592244,0.0,"",0.0,"",0.0,"",40220.5,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20204034001-20190814-S-IVP,8/14/2019,0.0,"",CO,37.387883,-105.540887,0.0,"",0.0,"",0.0,"",2.41,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-12840-20110803-S-ROUTINE,8/3/2011,0.0,"",CO,40.531,-107.43633,0.0,"",0.0,"",0.0,"",6.62,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_383103106594200200710171435^01,10/17/2007,0.0,"",CO,38.51749077,-106.9956012,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382937107033500200408161010^01,8/16/2004,0.0,"",CO,38.49360224,-107.0603257,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
SOUTHUTE-NAR1 06/20/2014P,6/20/2014,0.0,"",CO,37.21384,-107.854161,0.0,"",0.0,"",0.0,"",137.1725,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20074035001-20060829_S-IVP,8/29/2006,0.0,"",CO,39.02041,-106.24641,0.0,"",0.0,"",0.0,"",4.1,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20074047001-20060829_S-IVP,8/29/2006,0.0,"",CO,39.07975,-106.36268,0.0,"",0.0,"",0.0,"",0.3,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2010409MMT-20090915_S-IVP,9/15/2009,0.0,"",CO,37.9733,-108.334,0.0,"",0.0,"",0.0,"",0.77,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20194016001-20180717-S-IVP,7/17/2018,0.0,"",CO,37.608092,-104.847165,0.0,"",0.0,"",0.0,"",5.02016,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-5606-20090923-S-ROUTINE,9/23/2009,0.0,"",CO,39.77345,-105.14365,0.0,"",0.0,"",0.0,"",86.5,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
SOUTHUTE-NPR1 07/14/2011P,7/14/2011,0.0,"",CO,37.376581,-107.579578,0.0,"",0.0,"",0.0,"",8.83,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2015CPW079-20140715_S-IVP,7/15/2014,0.0,"",CO,40.785288,-103.26722,0.0,"",0.0,"",0.0,"",27.63,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_09127000200108141252^01,8/14/2001,0.0,"",CO,38.44637698,-107.555614,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382418107242600200402241145^01,2/24/2004,0.0,"",CO,38.4049908,-107.4078353,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-070618JFS012-20070619_S-IVP,6/19/2007,0.0,"",CO,40.08925,-108.21205,0.0,"",0.0,"",0.0,"",2.7,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20214007001-20200720-S-IVP,7/20/2020,0.0,"",CO,39.621167,-106.057278,0.0,"",0.0,"",0.0,"",3.168933333,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-CHTLKUPE1201806111645003.5F,6/11/2018,3.5,m,CO,39.54528,-105.0525,0.0,"",0.0,"",0.0,"",0.0489,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20014009001-20000503_S-IVP,5/3/2000,0.0,"",CO,40.434734,-103.339582,0.0,"",0.0,"",0.0,"",163.6,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
SOUTHUTE-NAR2 07/23/2014P,7/23/2014,0.0,"",CO,37.187031,-107.869928,0.0,"",0.0,"",0.0,"",2883.4,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2016CPW059-20150922_S-IVP,9/22/2015,0.0,"",CO,40.363807,-106.799988,0.0,"",0.0,"",0.0,"",84.85,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
SOUTHUTE-NAR3 08/20/2013P,8/20/2013,0.0,"",CO,37.126944,-107.891944,0.0,"",0.0,"",0.0,"",18759.5,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-CHTLKUPW1201806111700000.5F,6/11/2018,0.5,m,CO,39.53203,-105.0805,0.0,"",0.0,"",0.0,"",0.0178,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2017CPW008-20160909_S-IVP,9/9/2016,0.0,"",CO,39.95841,-104.7555917,0.0,"",0.0,"",0.0,"",25.65,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2010408EGT-20090812_S-IVP,8/12/2009,0.0,"",CO,39.0422,-107.946,0.0,"",0.0,"",0.0,"",10.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-19994005001-19980922_S-IVP,9/22/1998,0.0,"",CO,40.1055,-105.742,0.0,"",0.0,"",0.0,"",1.4,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-19994003001-19980914_S-IVP,9/14/1998,0.0,"",CO,38.0674,-102.94363,0.0,"",0.0,"",0.0,"",9.5,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382900107101600200306031425^01,6/3/2003,0.0,"",CO,38.48332555,-107.1717185,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2018CPW038-20170808_S-IVP,8/8/2017,0.0,"",CO,38.236835,-107.75507,0.0,"",0.0,"",0.0,"",1.42,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-CCRLKND1201809101430001.5F,9/10/2018,1.5,m,CO,39.64894,-104.8536,0.0,"",0.0,"",0.0,"",0.145,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2017CPW076-20160811_S-IVP,8/11/2016,0.0,"",CO,39.875918,-106.328998,0.0,"",0.0,"",0.0,"",0.95,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20104D8SKT-20090827_S-IVP,8/27/2009,0.0,"",CO,38.688917,-105.051009,0.0,"",0.0,"",0.0,"",1.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_383028107162200200505231055^01,5/23/2005,0.0,"",CO,38.5077701,-107.2733881,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382937107033500200108071055^01,8/7/2001,0.0,"",CO,38.49360224,-107.0603257,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382831107172600200307021140^01,7/2/2003,1.0,m,CO,38.47526994,-107.2911664,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382856107050000200505251240^01,5/25/2005,3.2,ft,CO,38.4822137,-107.0839377,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MWRD_WQX-AE87201Sample-Routine,2/12/2020,1.0,m,CO,39.95468,-104.7523,0.0,"",0.0,"",0.0,"",127.0,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
NARS_WQX-NRS_CO-10488:20180804:SR:,8/4/2018,0.0,"",CO,37.95741609,-108.8410129,0.0,"",0.0,"",0.0,"",4.42,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20074090001-20060822_S-IVP,8/22/2006,0.0,"",CO,37.59476,-106.66616,0.0,"",0.0,"",0.0,"",1.3,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
SOUTHUTE-AR 16-007192017P,7/19/2017,0.0,"",CO,37.187031,-107.869928,0.0,"",0.0,"",0.0,"",9875.1,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-10567-20070717-S-ROUTINE,7/17/2007,0.0,"",CO,38.634251,-108.195215,0.0,"",0.0,"",0.0,"",5.45,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
SOUTHUTE-NPR4 09/12/2011P,9/12/2011,0.0,"",CO,37.00049,-107.60145,0.0,"",0.0,"",0.0,"",4.085,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20206021001-20190808-S-ROUTINE,8/8/2019,0.0,"",CO,38.46365,-107.88035,0.0,"",0.0,"",0.0,"",8.095557592,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2015CPW178-20150506_S-IVP,5/6/2015,0.0,"",CO,38.002399,-108.255944,0.0,"",0.0,"",0.0,"",2.27,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2015CPW072-20140709_S-IVP,7/9/2014,0.0,"",CO,38.211203,-103.69229,0.0,"",0.0,"",0.0,"",10.89,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382856107050000200209050842^03,9/5/2002,1.0,m,CO,38.4822137,-107.0839377,0.0,"",0.0,"",0.0,"",8.13,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-BCRLKUPS1201809110750001.0F,9/11/2018,1.0,m,CO,39.64867,-105.1448,0.0,"",0.0,"",0.0,"",0.0336,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382856107050000200108210934^01,8/21/2001,1.0,m,CO,38.4822137,-107.0839377,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
SOUTHUTE-Cherry Creek 08/01/2011P,8/1/2011,0.0,"",CO,37.122494,-108.197208,0.0,"",0.0,"",0.0,"",934.42,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382829107122200200408101018^03,8/10/2004,3.2,ft,CO,38.4747148,-107.2067198,0.0,"",0.0,"",0.0,"",1.227,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MWRD_WQX-AE50425Sample-Routine,2/12/2019,1.0,m,CO,39.95468,-104.7523,0.0,"",0.0,"",0.0,"",127.0,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-BLCA_09128000199906011445^01,6/1/1999,0.0,"",CO,38.52915336,-107.648947,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382702107315400200111081202^01,11/8/2001,0.0,"",CO,38.45054376,-107.5322807,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-10570-20070719-S-ROUTINE,7/19/2007,0.0,"",CO,38.96121,-108.22965,0.0,"",0.0,"",0.0,"",9.35,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382831107172600201109150840^03,9/15/2011,1.0,m,CO,38.47526994,-107.2911664,0.0,"",0.0,"",0.0,"",1.62,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-CCRLKML1201808131440000.5F,8/13/2018,0.5,m,CO,39.64175,-104.8562,0.0,"",0.0,"",0.0,"",0.1262,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382702107315400201008101300^03,8/10/2010,0.0,"",CO,38.45054376,-107.5322807,0.0,"",0.0,"",0.0,"",0.87,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20201035002-20190924-S-ROUTINE,9/24/2019,0.0,"",CO,38.666232,-105.228282,0.0,"",0.0,"",0.0,"",6.246084679,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20134LHA1-20120731_S-IVP,7/31/2012,0.0,"",CO,40.36511,-105.151076,0.0,"",0.0,"",0.0,"",3.7,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20074053001-20060830_S-IVP,8/30/2006,0.0,"",CO,38.45892,-105.05173,0.0,"",0.0,"",0.0,"",2.8,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_09125000200411161115^01,11/16/2004,0.0,"",CO,38.4877673,-107.415057,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-7118-20050914-S-ROUTINE,9/14/2005,0.0,"",CO,38.40765,-105.32628,0.0,"",0.0,"",0.0,"",16.36,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382856107050000200804290945^03,4/29/2008,1.0,m,CO,38.4822137,-107.0839377,0.0,"",0.0,"",0.0,"",4.67,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-BCRLKUPN1201809110740002.0F,9/11/2018,2.0,m,CO,39.65147,-105.1471,0.0,"",0.0,"",0.0,"",0.0833,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2017CPW013-20161004_S-IVP,10/4/2016,0.0,"",CO,37.607347,-104.82993,0.0,"",0.0,"",0.0,"",2.37,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382831107172600200110161124^03,10/16/2001,1.0,m,CO,38.47526994,-107.2911664,0.0,"",0.0,"",0.0,"",1.338,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_09127000200708231210^01,8/23/2007,0.0,"",CO,38.44637698,-107.555614,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
NARS_WQX-NLA_CO-10086:20170720:SR:,7/20/2017,0.0,"",CO,39.83299,-106.323,0.0,"",0.0,"",0.0,"",1.45,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-BCRLKUPN1201809110740003.0F,9/11/2018,3.0,m,CO,39.65147,-105.1471,0.0,"",0.0,"",0.0,"",0.0833,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2015CPW159-20140826_S-IVP,8/26/2014,0.0,"",CO,38.979958,-104.959673,0.0,"",0.0,"",0.0,"",0.95,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-CHTLKUPW1201805071700008.5F,5/7/2018,8.5,m,CO,39.53203,-105.0805,0.0,"",0.0,"",0.0,"",0.0316,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-CHTLKMLW1201807161800003.0F,7/16/2018,3.0,m,CO,39.54375,-105.077,0.0,"",0.0,"",0.0,"",0.0868,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_381633107054700_202012030001,12/3/2020,0.0,"",CO,38.27582757,-107.0969952,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20181016001-20170711-S-ROUTINE,7/11/2017,0.0,"",CO,40.654337,-105.529596,0.0,"",0.0,"",0.0,"",3.117118761,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-2014CPW261-20130910_S-IVP,9/10/2013,0.0,"",CO,37.541837,-106.801782,0.0,"",0.0,"",0.0,"",19.06,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-BCRLKUPS1201805080750000.1F,5/8/2018,0.1,m,CO,39.64867,-105.1448,0.0,"",0.0,"",0.0,"",0.0342,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
UC_REGION_USBOR_WQX-USBR_MRWQM_McPDR004_20120716_2_F,7/16/2012,2.0,m,CO,37.5783,-108.567,0.0,"",0.0,"",0.0,"",0.61,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
SOUTHUTE-Animas 1 08/01/2011P,8/1/2011,0.0,"",CO,37.187051,-107.878685,0.0,"",0.0,"",0.0,"",666.91,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-8148-20050823-S-ROUTINE,8/23/2005,0.0,"",CO,37.7141,-106.9845,0.0,"",0.0,"",0.0,"",36.74,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-BLCA_09128000199904201330^01,4/20/1999,0.0,"",CO,38.52915336,-107.648947,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
SOUTHUTE-Sambrito 08/02/2011P,8/2/2011,0.0,"",CO,37.02474,-107.47206,0.0,"",0.0,"",0.0,"",3097.87,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
