ID,Start Date,Water Depth,Water Depth Unit,U.S. State,Latitude,Longitude,Algae Value,Algae Unit,Biomass Value,Biomass Unit,Biomass/chlorophyll ratio Value,Biomass/chlorophyll ratio Unit,Chlorophyll Value,Chlorophyll Unit,Cladophora Value,Cladophora Unit,Cyanobacteria Value,Cyanobacteria Unit,Diatoms Value,Diatoms Unit,Macroinvertebrates Value,Macroinvertebrates Unit,Periphyton Value,Periphyton Unit,Phycocyanin Value,Phycocyanin Unit
COEOMAHA_WQX-FTPLK1772A60218400140F,6/2/2015,14.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0221,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1789DW81618300130F,8/16/2004,13.0,m,MT,47.79269,-106.6329,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
FORTPECK-BM-S-BM-014-20130827_1200-C,8/27/2013,0.0,"",MT,48.215556,-104.68944,0.0,"",0.0,"",0.0,"",50.7,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A82614000340F,8/26/2015,34.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.005,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MTVOLWQM_WQX-HAB-HYLT_08132020_F-MSR/OBS,8/13/2020,0.0,"",MT,45.4869,-110.9767,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A82217000015L,8/22/2007,1.5,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",1.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
FORTPECK-PR-R-PR-051_06/14/2010_L,6/14/2010,0.0,"",MT,48.21338,-105.141928,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
FORTPECK-PR-R-PR-06108162011L,8/16/2011,0.0,"",MT,48.151255,-105.168851,0.0,"",0.0,"",0.0,"",25.6,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0192013500270F,9/20/2005,27.0,m,MT,47.90728,-106.4154,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1805DW202009231000011.0F,9/23/2020,11.0,m,MT,47.67997,-106.8796,0.0,"",0.0,"",0.0,"",0.0257,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MDEQ_WQ_WQX-4524-PHY-03,7/28/2005,0.0,"",MT,48.26378,-115.94639,0.0,"",0.0,"",0.0,"",0.3,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1778DW62020050050F,6/20/2005,5.0,m,MT,47.89017,-106.5242,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A80609000170F,8/6/2008,17.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",1.51,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A200706262030001.0PQN2,6/26/2007,1.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MDEQ_WQ_WQX-GIBRS01-C12,7/28/2004,0.0,"",MT,47.6015,-112.7665,0.0,"",0.0,"",0.0,"",1.051,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MDEQ_WQ_WQX-LNDBL01-C32,9/15/2004,0.0,"",MT,47.3747,-113.7391,0.0,"",0.0,"",0.0,"",0.535,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
USACENWS_WQX-LIBTMC:20170919:1412:SR,9/19/2017,0.0,"",MT,48.587128,-115.232889,0.0,"",0.0,"",0.0,"",7.6E-4,mg/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1789DW200409221200001.0PQN2,9/22/2004,1.0,m,MT,47.79269,-106.6329,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0280114400120F,8/1/2012,12.0,m,MT,47.74397,-106.2958,0.0,"",0.0,"",0.0,"",0.0153,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772B72108150110F,7/21/2010,11.0,m,MT,48.005,-106.3744,0.0,"",0.0,"",0.0,"",0.0086,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
EMAP_GRE-826GRW554PHRB,8/26/2005,0.0,"",MT,48.022789,-106.435894,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A51809300190F,5/18/2011,19.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0337,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MDEQ_WQ_WQX-U6938-ND-NP2,7/19/2019,0.0,"",MT,47.2154,-111.3866,0.0,"",0.0,"",0.0,"",30.2,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MTNWE-MM-B-8_08/14/2018C_S-ROUTINE,8/14/2018,0.0,"",MT,46.99989,-112.00498,0.0,"",0.0,"",0.0,"",96.5,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MTWTRSHD_WQX-SKYLES_2012-07-23_15:25:00_R,7/23/2012,0.0,"",MT,48.40579,-114.40286,0.0,"",0.0,"",0.0,"",2.5,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1778DW62313450200F,6/23/2004,20.0,m,MT,47.89017,-106.5242,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
USACENWS_WQX-LIBBOR:20121012:1623:SR,10/12/2012,0.0,"",MT,48.995982,-115.182805,0.0,"",0.0,"",0.0,"",1.424,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
EMAP_GRE-726GRW624PERB,7/26/2005,0.0,"",MT,48.117368,-104.565753,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
NARS_WQX-MTR9-0916:20130731:SR:,7/31/2013,0.0,"",MT,48.00521,-105.9092,0.0,"",0.0,"",0.0,"",0.204242424,ug/cm2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MTWTRSHD_WQX-FMP05170,9/5/2006,0.0,"",MT,47.868056,-114.065278,0.0,"",0.0,"",0.0,"",1.11,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
FORTPECK-MO RIV RK 86.4-20150812_1215-C,8/12/2015,0.0,"",MT,48.120778,-104.83908,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1778DW71817200360F,7/18/2005,36.0,m,MT,47.89017,-106.5242,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772B62207300120F,6/22/2011,12.0,m,MT,48.005,-106.3744,0.0,"",0.0,"",0.0,"",0.1565,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772B52115000290F,5/21/2013,29.0,m,MT,48.005,-106.3744,0.0,"",0.0,"",0.0,"",0.0383,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1805DW82909300120F,8/29/2012,12.0,m,MT,47.67997,-106.8796,0.0,"",0.0,"",0.0,"",0.0095,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
EMAP_GRE-729-MRU602R,7/29/2004,0.0,"",MT,48.009842,-105.84521,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A62412100200F,6/24/2015,20.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0743,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0260307000090F,6/3/2015,9.0,m,MT,47.74397,-106.2958,0.0,"",0.0,"",0.0,"",0.0245,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MTVOLWQM_WQX-HAB-HSRRES_HR03_08032019_F-MSR/OBS,8/3/2018,0.0,"",MT,46.73539,-111.89065,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MTNWE-MM-B-2_08/07/2019A_S-ROUTINE,8/7/2019,0.0,"",MT,44.86468,-111.35105,0.0,"",0.0,"",0.0,"",24.9,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1805DW201609280750016.0F,9/28/2016,16.0,m,MT,47.67997,-106.8796,0.0,"",0.0,"",0.0,"",0.024,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A72406500100F,7/24/2013,10.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0099,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MDEQ_WQ_WQX-4612-PHY-R,8/4/2006,0.0,"",MT,48.5908,-114.63924,0.0,"",0.0,"",0.0,"",0.5,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPNFMORR1201706271050000.1F,6/27/2017,0.1,m,MT,47.63697,-108.6872,0.0,"",0.0,"",0.0,"",0.0432,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0162311500380F,6/23/2004,38.0,m,MT,47.90728,-106.4154,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A201605251220053.0F,5/25/2016,53.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0103,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1805DW201706281310011.0F,6/28/2017,11.0,m,MT,47.67997,-106.8796,0.0,"",0.0,"",0.0,"",0.0118,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0272111000140F,7/21/2010,14.0,m,MT,47.74397,-106.2958,0.0,"",0.0,"",0.0,"",0.0084,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A82218000310F,8/22/2005,31.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MTWTRSHD_WQX-MURRAY_2017-07-18_17:35:00_R,7/18/2017,0.0,"",MT,48.44283,-114.45337,0.0,"",0.0,"",0.0,"",1.4,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MDEQ_WQ_WQX-03-0787-CHEM,7/16/2003,0.0,"",MT,46.587528,-111.91927,0.0,"",0.0,"",0.0,"",20.4,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A72507400020F,7/25/2007,2.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",1.34,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
NARS_WQX-MTRM-1010:20140723:SR:,7/23/2014,0.0,"",MT,47.72753,-104.0921,0.0,"",0.0,"",0.0,"",0.261212121,ug/cm2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1805DW202006231850020.0F,6/23/2020,20.0,m,MT,47.67997,-106.8796,0.0,"",0.0,"",0.0,"",0.0148,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1805DW91014300250F,9/10/2008,25.0,m,MT,47.67997,-106.8796,0.0,"",0.0,"",0.0,"",1.22,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A60218400040F,6/2/2015,4.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0214,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
CSKTRIBE-FHR-FPB1126:201508261103:SR,8/26/2015,0.0,"",MT,47.36753906,-114.5783267,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
CSKTRIBE-CRW-MCC0340050620081MCC03405080,5/6/2008,0.007,m,MT,47.546667,-114.03,0.0,"",0.0,"",0.0,"",0.3,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0162713100180F,6/27/2012,18.0,m,MT,47.90728,-106.4154,0.0,"",0.0,"",0.0,"",0.0192,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A52709150480F,5/27/2004,48.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.27,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
FORTPECK-MO RIV RK 240.3-20150820_1123-C,8/20/2015,0.0,"",MT,48.006671,-106.10582,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A80609000090F,8/6/2008,9.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",1.84,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MTWTRSHD_WQX-WATER_05102011_BLANK,5/10/2011,0.0,"",MT,46.21402,-113.27998,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
CSKTRIBE-JCK-JMF0018:201508271007:QFR,8/27/2015,0.0,"",MT,47.19581952,-113.8478298,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A62311000250F,6/23/2004,25.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1805DW82408100230F,8/24/2010,23.0,m,MT,47.67997,-106.8796,0.0,"",0.0,"",0.0,"",0.0095,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A52115100450F,5/21/2013,45.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0342,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1778DW72015100210F,7/20/2004,21.0,m,MT,47.89017,-106.5242,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1778DW82216500020F,8/22/2005,2.0,m,MT,47.89017,-106.5242,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A73118300500F,7/31/2012,50.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0097,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
CSKTRIBE-LBR-LNM00460414200814080,4/14/2008,0.284,m,MT,47.494722,-114.329444,0.0,"",0.0,"",0.0,"",5.1,mg/mL,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
EMAP_GRE-729GRW602PERB,7/29/2004,0.0,"",MT,48.009842,-105.84521,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A51910300150F,5/19/2010,15.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0093,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0262614000140F,6/26/2013,14.0,m,MT,47.74397,-106.2958,0.0,"",0.0,"",0.0,"",0.0099,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
NARS_WQX-MTR9-0910:20140722:SR:,7/22/2014,0.0,"",MT,46.86783,-104.9952,0.0,"",0.0,"",0.0,"",0.927272727,ug/cm2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772B52219100220F,5/22/2012,22.0,m,MT,48.005,-106.3744,0.0,"",0.0,"",0.0,"",0.0182,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0162311500002F,6/23/2004,0.2,m,MT,47.90728,-106.4154,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A81614250280F,8/16/2004,28.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772B51809100220F,5/18/2011,22.0,m,MT,48.005,-106.3744,0.0,"",0.0,"",0.0,"",0.0359,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MTWTRSHD_WQX-HOLLAND_2018-07-07_14:00:00_B,7/7/2018,0.0,"",MT,47.44784,-113.59959,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0192013500210F,9/20/2005,21.0,m,MT,47.90728,-106.4154,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0252406400260F,5/24/2012,26.0,m,MT,47.74397,-106.2958,0.0,"",0.0,"",0.0,"",0.0202,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A201710241310022.0F,10/24/2017,22.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0171,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MTWTRSHD_WQX-FMP05486,1/3/2008,1.0,m,MT,47.868056,-114.065278,0.0,"",0.0,"",0.0,"",0.833,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
FORTPECK-BMSBM05608172011F,8/17/2011,0.0,"",MT,48.34585,-104.584083,0.0,"",0.0,"",0.0,"",22.56,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
USACENWS_WQX-LIBTMC:20100609:1237:SR,6/9/2010,0.0,"",MT,48.587128,-115.232889,0.0,"",0.0,"",0.0,"",3.56,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MDEQ_WQ_WQX-03-0961-W,10/3/2003,1.0,m,MT,45.0701,-106.7996,0.0,"",0.0,"",0.0,"",20.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MTNWE-MM-B-5_08/12/2020C_S-ROUTINE,8/12/2020,0.0,"",MT,46.14419,-111.41351,0.0,"",0.0,"",0.0,"",80.9,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A201606290800009.0F,6/29/2016,9.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0281,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A201710241310027.0F,10/24/2017,27.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0172,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A73100000020L,7/31/2003,2.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",1.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
CSKTRIBE-FHL-BAB10525200515250,5/25/2005,0.0,m,MT,47.816667,-114.283333,0.0,"",0.0,"",0.0,"",1.0,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
MDEQ_WQ_WQX-RR_07162015_S-R,7/16/2015,0.0,"",MT,44.9147,-112.8274,0.0,"",0.0,"",0.0,"",9.2,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
FORTPECK-PW-S-LP-005:201606081115:SR,6/8/2016,0.0,"",MT,48.4225,-106.09305,0.0,"",0.0,"",0.0,"",3.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A51809300580F,5/18/2011,58.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0477,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
EMAP_GRE-729GRW602PHED,7/29/2004,0.0,"",MT,48.009842,-105.84521,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0182217250370F,8/22/2005,37.0,m,MT,47.90728,-106.4154,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1805DW201807250830002.0F,7/25/2018,2.0,m,MT,47.67997,-106.8796,0.0,"",0.0,"",0.0,"",0.0301,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
1119USBR_WQX-09-A2977,7/16/2009,1.0,m,MT,48.341,-114.008,0.0,"",0.0,"",0.0,"",1.1,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0272111000170F,7/21/2010,17.0,m,MT,47.74397,-106.2958,0.0,"",0.0,"",0.0,"",0.0077,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A60409000180F,6/4/2008,18.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",1.52,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1805DW201709270930018.0F,9/27/2017,18.0,m,MT,47.67997,-106.8796,0.0,"",0.0,"",0.0,"",0.035,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A201808290930039.0F,8/29/2018,39.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0126,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0162311500030F,6/23/2004,3.0,m,MT,47.90728,-106.4154,0.0,"",0.0,"",0.0,"",0.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0262211200250F,6/22/2011,25.0,m,MT,47.74397,-106.2958,0.0,"",0.0,"",0.0,"",0.0797,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A92210000290F,9/22/2010,29.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0143,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
