ActivityIdentifier,ActivityStartDate,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode
1119USBR_WQX-99-A1717,6/16/1999,,,44.6391667,-116.1161667,Chlorophyll a,6.8,mg/m3
1119USBR_WQX-99-A1225,5/24/1999,,,44.6399444,-116.1216667,Chlorophyll a,0.6,mg/m3
1119USBR_WQX-99-A3596,8/24/1999,,,44.6361111,-116.0677778,Chlorophyll a,7.3,mg/m3
1119USBR_WQX-99-A2755,7/19/1999,1,m,42.6708333,-113.4833333,Chlorophyll a,2.8,mg/m3
1119USBR_WQX-99-A1793,6/21/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,5,mg/m3
1119USBR_WQX-99-A2984,7/28/1999,,,44.6160556,-116.0670556,Chlorophyll a,4.7,mg/m3
1119USBR_WQX-99-A706,4/19/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,0.9,mg/m3
1119USBR_WQX-99-A5008,10/27/1999,,,44.6361111,-116.0677778,Chlorophyll a,2.4,mg/m3
1119USBR_WQX-99-A519,4/5/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,1.1,mg/m3
1119USBR_WQX-99-A1229,5/24/1999,,,44.6399444,-116.1216667,Chlorophyll a,1.2,mg/m3
1119USBR_WQX-99-A2691,7/20/1999,,,44.6375,-116.07625,Chlorophyll a,5.1,mg/m3
1119USBR_WQX-99-A840,4/27/1999,,,44.6374167,-116.1281111,Chlorophyll a,0.8,mg/m3
1119USBR_WQX-99-A1254,5/25/1999,,,44.6266389,-116.0590556,Chlorophyll a,6.7,mg/m3
1119USBR_WQX-99-A2309,7/1/1999,1,m,43.5839722,-115.8288611,Chlorophyll a,0.9,mg/m3
1119USBR_WQX-99-A1797,6/21/1999,1,m,43.62,-115.8211389,Chlorophyll a,6.5,mg/m3
1119USBR_WQX-99-A1247,5/25/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,4.6,mg/m3
1119USBR_WQX-99-A1826,6/22/1999,1,m,44.3944444,-116.8961111,Chlorophyll a,0.9,mg/m3
1119USBR_WQX-99-A4262,9/27/1999,,,44.6364722,-116.0662778,Chlorophyll a,2.8,mg/m3
1119USBR_WQX-99-A3671,8/25/1999,,,44.6374167,-116.1281111,Chlorophyll a,0.5,mg/m3
1119USBR_WQX-99-A4268,9/27/1999,,,44.62175,-116.0520833,Chlorophyll a,17.7,mg/m3
1119USBR_WQX-99-A5837,12/29/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,1.8,mg/m3
1119USBR_WQX-99-A5016,10/27/1999,,,44.6375,-116.07625,Chlorophyll a,1.8,mg/m3
1119USBR_WQX-99-A5252,11/22/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,9.4,mg/m3
1119USBR_WQX-99-A2695,7/20/1999,,,44.6399444,-116.1216667,Chlorophyll a,1.6,mg/m3
1119USBR_WQX-99-A2784,7/21/1999,1,m,43.59,-111.77,Chlorophyll a,1.1,mg/m3
1119USBR_WQX-99-A2764,7/20/1999,1,m,43.2833333,-111.1444444,Chlorophyll a,0.7,mg/m3
1119USBR_WQX-99-A4270,9/27/1999,,,44.6361111,-116.0677778,Chlorophyll a,2.3,mg/m3
UTAHDWQ_WQX-1999DATA-60899-199909927C,10/18/1999,0,m,42.06938,-111.33716,"Chlorophyll a, uncorrected for pheophytin",1.1,ug/L
1119USBR_WQX-99-A1802,6/21/1999,,,44.6361111,-116.0677778,Chlorophyll a,4.4,mg/m3
R10BUNKER-99902365,9/21/1999,,,47.5149051,-116.8360166,"Chlorophyll a, uncorrected for pheophytin",0.6,ug/L
1119USBR_WQX-99-A4269,9/27/1999,,,44.6212778,-116.0534167,Chlorophyll a,5.5,mg/m3
1119USBR_WQX-99-A3912,9/8/1999,1,m,44.6777778,-116.0819444,Chlorophyll a,11.7,mg/m3
1119USBR_WQX-99-A1255,5/25/1999,,,44.6374167,-116.1281111,Chlorophyll a,3.2,mg/m3
R10BUNKER-99902366,9/21/1999,,,47.4165724,-116.7510095,Chlorophyll b,0.1,ug/L
1119USBR_WQX-99-A4669,10/14/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,4.2,mg/m3
1119USBR_WQX-99-A2311,7/1/1999,1,m,43.62,-115.8211389,Chlorophyll a,< 0.5,mg/m3
1119USBR_WQX-99-A5010,10/27/1999,,,44.6212778,-116.0534167,Chlorophyll a,7.5,mg/m3
1119USBR_WQX-99-A2307,7/1/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,1,mg/m3
UTAHDWQ_WQX-1999DATA-60895-199910574C,11/16/1999,,,42.12492,-111.92496,"Chlorophyll a, uncorrected for pheophytin",14.6,ug/L
1119USBR_WQX-99-A836,4/27/1999,,,44.6399444,-116.1216667,Chlorophyll a,< 0.5,mg/m3
1119USBR_WQX-99-A1807,6/21/1999,,,44.6375,-116.07625,Chlorophyll a,2.4,mg/m3
1119USBR_WQX-99-A639,4/13/1999,,,44.62175,-116.0520833,Chlorophyll a,< 0.5,mg/m3
R10BUNKER-99902364,9/21/1999,,,47.5832386,-116.8065743,Chlorophyll b,0.1,ug/L
1119USBR_WQX-99-A4295,9/28/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,2.3,mg/m3
1119USBR_WQX-99-A1808,6/21/1999,,,44.6208056,-116.049,Chlorophyll a,2.1,mg/m3
1119USBR_WQX-99-A5009,10/27/1999,,,44.6266389,-116.0590556,Chlorophyll a,6.6,mg/m3
1119USBR_WQX-99-A2792,7/21/1999,,,44.7876389,-116.0432222,Chlorophyll a,3.5,mg/m3
1119USBR_WQX-99-A3594,8/24/1999,,,44.6208056,-116.049,Chlorophyll a,1.3,mg/m3
1119USBR_WQX-99-A640,4/13/1999,,,44.6375,-116.07625,Chlorophyll a,< 0.5,mg/m3
1119USBR_WQX-99-A2693,7/20/1999,,,44.6374167,-116.1281111,Chlorophyll a,1.6,mg/m3
1119USBR_WQX-99-A4975,10/26/1999,,,44.6342778,-116.122,Chlorophyll a,1.4,mg/m3
1119USBR_WQX-99-A4182,9/21/1999,,,44.6399444,-116.1216667,Chlorophyll a,1.8,mg/m3
1119USBR_WQX-99-A2663,7/15/1999,1,m,43.62,-115.8211389,Chlorophyll a,0.5,mg/m3
1119USBR_WQX-99-A2794,7/21/1999,,,44.62175,-116.0520833,Chlorophyll a,37.2,mg/m3
UTAHDWQ_WQX-1999DATA-60882-199903939C,5/18/1999,,,42.12492,-111.92496,"Chlorophyll a, uncorrected for pheophytin",12.2,ug/L
1119USBR_WQX-99-A4267,9/27/1999,,,44.6215556,-116.0499722,Chlorophyll a,1.7,mg/m3
1119USBR_WQX-99-A1803,6/21/1999,,,44.6361111,-116.0677778,Chlorophyll a,4.5,mg/m3
1119USBR_WQX-99-A3111,8/4/1999,7.7,m,44.6986111,-116.1055556,Chlorophyll a,8.7,mg/m3
1119USBR_WQX-99-A4266,9/27/1999,,,44.6208056,-116.049,Chlorophyll a,1.2,mg/m3
1119USBR_WQX-99-A3121,8/4/1999,,,44.5277778,-116.0541667,Chlorophyll a,5.2,mg/m3
1119USBR_WQX-99-A5011,10/27/1999,,,44.62175,-116.0520833,Chlorophyll a,3,mg/m3
1119USBR_WQX-99-A2788,7/21/1999,1,m,43.5416667,-111.7369444,Chlorophyll a,1.5,mg/m3
1119USBR_WQX-99-A499,3/31/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,1.8,mg/m3
R10BUNKER-99902364,9/21/1999,,,47.5832386,-116.8065743,"Chlorophyll a, uncorrected for pheophytin",0.7,ug/L
1119USBR_WQX-99-A839,4/27/1999,,,44.6266389,-116.0590556,Chlorophyll a,< 0.5,mg/m3
1119USBR_WQX-99-A4264,9/27/1999,,,44.6361111,-116.0677778,Chlorophyll a,2.9,mg/m3
1119USBR_WQX-99-A4260,9/27/1999,,,44.6375,-116.07625,Chlorophyll a,8.7,mg/m3
1119USBR_WQX-99-A3910,9/8/1999,1,m,44.6888889,-116.0986111,Chlorophyll a,12.8,mg/m3
1119USBR_WQX-99-A4184,9/21/1999,,,44.7876389,-116.0432222,Chlorophyll a,1.4,mg/m3
1119USBR_WQX-99-A1256,5/25/1999,,,44.6342778,-116.122,Chlorophyll a,7,mg/m3
UTAHDWQ_WQX-1999DATA-60875-199901044C,2/9/1999,,,42.12492,-111.92496,"Chlorophyll a, uncorrected for pheophytin",7.8,ug/L
1119USBR_WQX-99-A3051,8/2/1999,1,m,43.5839722,-115.8288611,Chlorophyll a,0.7,mg/m3
1119USBR_WQX-99-A4183,9/21/1999,,,44.6391667,-116.1161667,Chlorophyll a,2.1,mg/m3
1119USBR_WQX-99-A5013,10/27/1999,,,44.6208056,-116.049,Chlorophyll a,2.6,mg/m3
1119USBR_WQX-99-A4086,9/16/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,5.6,mg/m3
1119USBR_WQX-99-A3115,8/4/1999,1,m,44.5277778,-116.0541667,Chlorophyll a,5.3,mg/m3
1119USBR_WQX-99-A838,4/27/1999,,,44.6361111,-116.0677778,Chlorophyll a,2.4,mg/m3
1119USBR_WQX-99-A1715,6/16/1999,,,44.7876389,-116.0432222,Chlorophyll a,1.6,mg/m3
1119USBR_WQX-99-A1804,6/21/1999,,,44.6266389,-116.0590556,Chlorophyll a,15,mg/m3
1119USBR_WQX-99-A5014,10/27/1999,,,44.6160556,-116.0670556,Chlorophyll a,1.9,mg/m3
1119USBR_WQX-99-A1251,5/25/1999,,,44.6208056,-116.049,Chlorophyll a,2.3,mg/m3
1119USBR_WQX-99-A2768,7/20/1999,1,m,43.3294444,-111.2047222,Chlorophyll a,0.6,mg/m3
1119USBR_WQX-99-A3117,8/4/1999,1,m,44.6888889,-116.0986111,Chlorophyll a,10,mg/m3
1119USBR_WQX-99-A4980,10/26/1999,,,44.7885278,-116.0456111,Chlorophyll a,4.4,mg/m3
1119USBR_WQX-99-A1718,6/16/1999,,,44.6399444,-116.1216667,Chlorophyll a,< 0.5,mg/m3
1119USBR_WQX-99-A2766,7/20/1999,1,m,43.3138889,-111.2013889,Chlorophyll a,0.7,mg/m3
1119USBR_WQX-99-A3598,8/24/1999,,,44.7885278,-116.0456111,Chlorophyll a,19.1,mg/m3
1119USBR_WQX-99-A4088,9/16/1999,,,43.5919444,-115.9166667,Chlorophyll a,5.7,mg/m3
1119USBR_WQX-99-A5286,11/30/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,8.9,mg/m3
1119USBR_WQX-99-A1795,6/21/1999,1,m,43.5839722,-115.8288611,Chlorophyll a,4.6,mg/m3
1119USBR_WQX-99-A1706,6/16/1999,,,43.3583333,-115.4444444,Chlorophyll a,5.6,mg/m3
1119USBR_WQX-99-A3597,8/24/1999,,,44.6266389,-116.0590556,Chlorophyll a,4.8,mg/m3
1119USBR_WQX-99-A3119,8/4/1999,1,m,44.6777778,-116.0819444,Chlorophyll a,5.7,mg/m3
1119USBR_WQX-99-A1806,6/21/1999,,,44.6455556,-116.0716111,Chlorophyll a,8.7,mg/m3
1119USBR_WQX-99-A1253,5/25/1999,,,44.6361111,-116.0677778,Chlorophyll a,49.2,mg/m3
1119USBR_WQX-99-A2661,7/15/1999,1,m,43.5839722,-115.8288611,Chlorophyll a,1,mg/m3
1119USBR_WQX-99-A1720,6/16/1999,,,44.6374167,-116.1281111,Chlorophyll a,< 0.5,mg/m3
1119USBR_WQX-99-A3047,8/2/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,0.9,mg/m3
R10BUNKER-99902365,9/21/1999,,,47.5149051,-116.8360166,Chlorophyll b,0.1,ug/L
1119USBR_WQX-99-A521,4/5/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,1,mg/m3
1119USBR_WQX-99-A638,4/13/1999,,,44.6208056,-116.049,Chlorophyll a,1.2,mg/m3
1119USBR_WQX-99-A3591,8/24/1999,,,44.6455556,-116.0716111,Chlorophyll a,7.3,mg/m3
1119USBR_WQX-99-A2694,7/20/1999,,,44.6342778,-116.122,Chlorophyll a,4,mg/m3
1119USBR_WQX-99-A2795,7/21/1999,,,44.6361111,-116.0677778,Chlorophyll a,1.9,mg/m3
1119USBR_WQX-99-A1446,6/7/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,3,mg/m3
1119USBR_WQX-99-A2786,7/21/1999,1,m,43.4772222,-111.7333333,Chlorophyll a,4.7,mg/m3
R10BUNKER-99902366,9/21/1999,,,47.4165724,-116.7510095,"Chlorophyll a, uncorrected for pheophytin",1.2,ug/L
1119USBR_WQX-99-A4949,10/25/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,4.4,mg/m3
1119USBR_WQX-99-A2692,7/20/1999,,,44.6364722,-116.0662778,Chlorophyll a,5.4,mg/m3
1119USBR_WQX-99-A261,2/22/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,2.8,mg/m3
1119USBR_WQX-99-A2796,7/21/1999,,,44.6266389,-116.0590556,Chlorophyll a,2.2,mg/m3
1119USBR_WQX-99-A1227,5/24/1999,,,44.6374167,-116.1281111,Chlorophyll a,< 0.5,mg/m3
1119USBR_WQX-99-A2761,7/20/1999,1,m,43.2013889,-111.0930556,Chlorophyll a,0.9,mg/m3
1119USBR_WQX-99-A1716,6/16/1999,,,44.7885278,-116.0456111,Chlorophyll a,2.6,mg/m3
1119USBR_WQX-99-A4185,9/21/1999,,,44.7885278,-116.0456111,Chlorophyll a,1.6,mg/m3
1119USBR_WQX-99-A3599,8/24/1999,,,44.7876389,-116.0432222,Chlorophyll a,4,mg/m3
1119USBR_WQX-99-A1252,5/25/1999,,,44.62175,-116.0520833,Chlorophyll a,1.9,mg/m3
1119USBR_WQX-99-A2758,7/19/1999,1,m,42.6736111,-113.5625,Chlorophyll a,3.9,mg/m3
1119USBR_WQX-99-A842,4/27/1999,,,44.6399444,-116.1216667,Chlorophyll a,< 0.5,mg/m3
1119USBR_WQX-99-A1719,6/16/1999,,,44.6342778,-116.122,Chlorophyll a,1.9,mg/m3
1119USBR_WQX-99-A3673,8/25/1999,,,44.6399444,-116.1216667,Chlorophyll a,1.5,mg/m3
UTAHDWQ_WQX-1999DATA-60888-199907253C,8/10/1999,,,42.12492,-111.92496,"Chlorophyll a, uncorrected for pheophytin",15.6,ug/L
1119USBR_WQX-99-A1450,6/7/1999,,,43.5919444,-115.9166667,Chlorophyll a,1.5,mg/m3
1119USBR_WQX-99-A1801,6/21/1999,,,43.5919444,-115.9166667,Chlorophyll a,3.7,mg/m3
1119USBR_WQX-99-A1703,6/16/1999,1,m,43.3583333,-115.4444444,Chlorophyll a,6.4,mg/m3
1119USBR_WQX-99-A4180,9/21/1999,,,44.6342778,-116.122,Chlorophyll a,1,mg/m3
1119USBR_WQX-99-A710,4/19/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,< 0.5,mg/m3
1119USBR_WQX-99-A81,1/25/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,5.6,mg/m3
1119USBR_WQX-99-A2757,7/19/1999,1,m,42.6708333,-113.4833333,Chlorophyll a,2.8,mg/m3
1119USBR_WQX-99-A2793,7/21/1999,,,44.6208056,-116.049,Chlorophyll a,3.9,mg/m3
1119USBR_WQX-99-A5248,11/22/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,9.1,mg/m3
1119USBR_WQX-99-A3592,8/24/1999,,,44.6364722,-116.0662778,Chlorophyll a,7.9,mg/m3
1119USBR_WQX-99-A4299,9/28/1999,,,43.5919444,-115.9166667,Chlorophyll a,1.9,mg/m3
1119USBR_WQX-99-A1228,5/24/1999,,,44.6342778,-116.122,Chlorophyll a,< 0.5,mg/m3
1119USBR_WQX-99-A3906,9/8/1999,1,m,44.6194444,-116.0930556,Chlorophyll a,8.6,mg/m3
1119USBR_WQX-99-A4265,9/27/1999,,,44.6266389,-116.0590556,Chlorophyll a,1.9,mg/m3
1119USBR_WQX-99-A2659,7/15/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,1.2,mg/m3
1119USBR_WQX-99-A1810,6/21/1999,,,44.6215556,-116.0499722,Chlorophyll a,66.8,mg/m3
1119USBR_WQX-99-A4263,9/27/1999,,,44.6160556,-116.0670556,Chlorophyll a,2.1,mg/m3
1119USBR_WQX-99-A4977,10/26/1999,,,44.6399444,-116.1216667,Chlorophyll a,1.1,mg/m3
1119USBR_WQX-99-A3595,8/24/1999,,,44.6212778,-116.0534167,Chlorophyll a,7.3,mg/m3
1119USBR_WQX-99-A1226,5/24/1999,,,44.6391667,-116.1161667,Chlorophyll a,1.2,mg/m3
1119USBR_WQX-99-A2791,7/21/1999,,,44.7885278,-116.0456111,Chlorophyll a,1.9,mg/m3
1119USBR_WQX-99-A3672,8/25/1999,,,44.6342778,-116.122,Chlorophyll a,3.5,mg/m3
1119USBR_WQX-99-A837,4/27/1999,,,44.6391667,-116.1161667,Chlorophyll a,< 0.5,mg/m3
1119USBR_WQX-99-A4978,10/26/1999,,,44.6391667,-116.1161667,Chlorophyll a,2.5,mg/m3
1119USBR_WQX-99-A641,4/13/1999,,,44.6160556,-116.0670556,Chlorophyll a,< 0.5,mg/m3
1119USBR_WQX-99-A1701,6/16/1999,1,m,43.4375,-115.2958333,Chlorophyll a,5.8,mg/m3
1119USBR_WQX-99-A3590,8/24/1999,,,44.6375,-116.07625,Chlorophyll a,3.1,mg/m3
1119USBR_WQX-99-A5017,10/27/1999,,,44.6160556,-116.0670556,Chlorophyll a,1.5,mg/m3
1119USBR_WQX-99-A3113,8/4/1999,1,m,44.6194444,-116.0930556,Chlorophyll a,4.3,mg/m3
1119USBR_WQX-00-A3691,8/9/2000,1,m,44.6986111,-116.1055556,Chlorophyll a,9.8,mg/m3
1119USBR_WQX-00-A4448,9/12/2000,,,44.6212778,-116.0534167,Chlorophyll a,3.4,mg/m3
1119USBR_WQX-00-A2662,6/29/2000,1,m,43.4261111,-114.0305556,Chlorophyll a,42.9,mg/m3
IDEQ_WQX-C-2-9/15/2000-11:00-chla,9/15/2000,,,46.0437,-116.34114,Chlorophyll a - Periphyton (attached),55.5,mg/m2
1119USBR_WQX-00-A4302,9/6/2000,1,m,44.5277778,-116.0541667,Chlorophyll a,22.7,mg/m3
1119USBR_WQX-00-A5710,12/11/2000,,,44.0713889,-116.9325,Chlorophyll a,12.6,mg/m3
1119USBR_WQX-00-A2657,6/28/2000,,,44.42,-111.4436111,Chlorophyll a,7.2,mg/m3
1119USBR_WQX-00-A4454,9/12/2000,,,44.6160556,-116.0670556,Chlorophyll a,2.3,mg/m3
R10BUNKER-16115,4/17/2000,,,47.5722,-116.2528,Floating algae mat - severity (choice list),None,None
1119USBR_WQX-00-A1041,4/19/2000,,,44.6342778,-116.122,Chlorophyll a,0.9,mg/m3
IDEQ_WQX-F-1-11/17/2000-13:45-chla,11/17/2000,,,46.35291,-115.905445,Chlorophyll a - Periphyton (attached),12.62,mg/m2
R10BUNKER-16143,11/6/2000,,,47.5722,-116.2528,Floating algae mat - severity (choice list),None,None
R10BUNKER-18707,12/21/2000,,,47.7030556,-116.9777778,Floating algae mat - severity (choice list),None,None
IDEQ_WQX-C-4-9/15/2000-14:30-chla,9/15/2000,,,46.04165,-116.29017,Chlorophyll a - Periphyton (attached),24.73,mg/m2
1119USBR_WQX-00-A3864,8/16/2000,,,44.6374167,-116.1281111,Chlorophyll a,0.5,mg/m3
1119USBR_WQX-00-A4306,9/6/2000,1,m,44.6777778,-116.0819444,Chlorophyll a,34.7,mg/m3
1119USBR_WQX-00-A3813,8/15/2000,,,44.6375,-116.07625,Chlorophyll a,2,mg/m3
1119USBR_WQX-00-A4380,9/11/2000,,,44.7885278,-116.0456111,Chlorophyll a,2.6,mg/m3
R10BUNKER-17117,11/6/2000,,,47.5517,-116.2363,Floating algae mat - severity (choice list),None,None
IDEQ_WQX-F-2-12/20/2000-11:45-chla,12/20/2000,,,46.37597,-115.94165,Chlorophyll a - Periphyton (attached),5.05,mg/m2
1119USBR_WQX-00-A1526,5/17/2000,,,44.6212778,-116.0534167,Chlorophyll a,16.8,mg/m3
1119USBR_WQX-00-A3096,7/12/2000,,,44.6399444,-116.1216667,Chlorophyll a,2.2,mg/m3
1119USBR_WQX-00-A4446,9/12/2000,,,44.6215556,-116.0499722,Chlorophyll a,1.8,mg/m3
1119USBR_WQX-00-A1434,5/16/2000,,,44.6391667,-116.1161667,Chlorophyll a,7.7,mg/m3
1119USBR_WQX-00-A4450,9/12/2000,,,44.6266389,-116.0590556,Chlorophyll a,2.3,mg/m3
1119USBR_WQX-00-A3097,7/12/2000,,,44.6391667,-116.1161667,Chlorophyll a,4.5,mg/m3
1119USBR_WQX-00-A1438,5/16/2000,,,44.6455556,-116.0716111,Chlorophyll a,20.5,mg/m3
1119USBR_WQX-00-A3818,8/15/2000,,,44.7876389,-116.0432222,Chlorophyll a,2.6,mg/m3
1119USBR_WQX-00-A4374,9/11/2000,,,44.6342778,-116.122,Chlorophyll a,1.2,mg/m3
1119USBR_WQX-00-A1044,4/19/2000,,,44.6391667,-116.1161667,Chlorophyll a,1.8,mg/m3
1119USBR_WQX-00-A4452,9/12/2000,,,44.6455556,-116.0716111,Chlorophyll a,5.2,mg/m3
IDEQ_WQX-G-1-11/17/2000-11:50-chla,11/17/2000,,,46.38337,-115.94101,Chlorophyll a - Periphyton (attached),1.82,mg/m2
1119USBR_WQX-00-A956,4/18/2000,,,44.62175,-116.0520833,Chlorophyll a,18.1,mg/m3
1119USBR_WQX-00-A2522,6/26/2000,,,42.6708333,-113.4833333,Chlorophyll a,9.7,mg/m3
1119USBR_WQX-00-A1524,5/17/2000,,,44.6215556,-116.0499722,Chlorophyll a,8.5,mg/m3
R10BUNKER-17109,8/31/2000,,,47.5517,-116.2363,Floating algae mat - severity (choice list),None,None
1119USBR_WQX-00-A3699,8/9/2000,1,m,44.6777778,-116.0819444,Chlorophyll a,15.2,mg/m3
1119USBR_WQX-00-A2649,6/28/2000,1,m,44.4197222,-111.3972222,Chlorophyll a,4.3,mg/m3
1119USBR_WQX-00-A2002,6/12/2000,,,44.6391667,-116.1161667,Chlorophyll a,2.8,mg/m3
1119USBR_WQX-00-A3100,7/13/2000,,,44.6208056,-116.049,Chlorophyll a,1.6,mg/m3
IDEQ_WQX-C-4-11/15/2000-13:50-chla,11/15/2000,,,46.04165,-116.29017,Chlorophyll a - Periphyton (attached),166.54,mg/m2
1119USBR_WQX-00-A2276,6/19/2000,,,44.6361111,-116.0677778,Chlorophyll a,2.2,mg/m3
1119USBR_WQX-00-A2486,6/26/2000,1,m,42.6736111,-113.5625,Chlorophyll a,6.9,mg/m3
1119USBR_WQX-00-A3099,7/12/2000,,,44.7885278,-116.0456111,Chlorophyll a,2.3,mg/m3
1119USBR_WQX-00-A2013,6/13/2000,1,m,43.9333333,-116.4416667,Chlorophyll a,1.8,mg/m3
1119USBR_WQX-00-A3866,8/16/2000,,,44.6399444,-116.1216667,Chlorophyll a,1.5,mg/m3
