ActivityIdentifier,ActivityStartDate,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode
11NPSWRD_WQX-CURE_381633107054700199910111250^01,10/11/1999,,,38.27582757,-107.0969952,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383028107162200199906020935^01,6/2/1999,,,38.5077701,-107.2733881,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000199910130930^01,10/13/1999,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382702107203900199906021420^01,6/2/1999,,,38.45054696,-107.3447785,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382900107101600199911291515^01,11/29/1999,,,38.48332555,-107.1717185,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_381934107133500199910111505^01,10/11/1999,,,38.32610537,-107.2269997,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_09127000199908100845^01,8/10/1999,,,38.44637698,-107.555614,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382943107015300199912061115^01,12/6/1999,,,38.49526864,-107.0319914,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383137107183600199910051040^01,10/5/1999,,,38.52693624,-107.3106108,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382902107140400199905261300^01,5/26/1999,,,38.4838816,-107.235054,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200199904061000^01,4/6/1999,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200199906031130^01,6/3/1999,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382937107033500199910041430^01,10/4/1999,,,38.49360224,-107.0603257,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_09127000199912090925^01,12/9/1999,,,38.44637698,-107.555614,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382418107242600199906030830^01,6/3/1999,,,38.4049908,-107.4078353,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382900107101600199905261500^01,5/26/1999,,,38.48332555,-107.1717185,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382418107242600199912020950^01,12/2/1999,,,38.4049908,-107.4078353,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382720107324000199908241420^01,8/24/1999,,,38.45554358,-107.5450584,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382943107015300199906011600^01,6/1/1999,,,38.49526864,-107.0319914,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_381934107133500199912081145^01,12/8/1999,,,38.32610537,-107.2269997,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_381633107054700199912080915^01,12/8/1999,,,38.27582757,-107.0969952,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000199906011445^01,6/1/1999,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382937107033500199911301535^01,11/30/1999,,,38.49360224,-107.0603257,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_381633107054700199908111030^01,8/11/1999,,,38.27582757,-107.0969952,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000199912021225^01,12/2/1999,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382702107203900199908101330^01,8/10/1999,,,38.45054696,-107.3447785,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200199908250810^01,8/25/1999,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382900107101600199908121130^01,8/12/1999,,,38.48332555,-107.1717185,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000199908241340^01,8/24/1999,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_09125000199912071100^01,12/7/1999,,,38.4877673,-107.415057,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382937107033500199908111340^01,8/11/1999,,,38.49360224,-107.0603257,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383137107183600199908120845^01,8/12/1999,,,38.52693624,-107.3106108,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383028107162200199911301230,11/30/1999,,,38.5077701,-107.2733881,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000199905261315^01,5/26/1999,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200199910211100^01,10/21/1999,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382720107324000199905270935^01,5/27/1999,,,38.45554358,-107.5450584,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200199906161240^01,6/16/1999,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000199906171115^01,6/17/1999,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200199905121310^01,5/12/1999,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382902107140400199910041220^01,10/4/1999,,,38.4838816,-107.235054,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000199907150950^01,7/15/1999,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_09127000199910071130^01,10/7/1999,,,38.44637698,-107.555614,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382900107101600199910050825^01,10/5/1999,,,38.48332555,-107.1717185,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000199904201330^01,4/20/1999,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_09125000199908261220^01,8/26/1999,,,38.4877673,-107.415057,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382902107140400199908091320^01,8/9/1999,,,38.4838816,-107.235054,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382720107324000199910071345^01,10/7/1999,,,38.45554358,-107.5450584,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382902107140400199912061300^01,12/6/1999,,,38.4838816,-107.235054,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000199905111340^01,5/11/1999,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382702107203900199910051350^01,10/5/1999,,,38.45054696,-107.3447785,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382418107242600199910070840^01,10/7/1999,,,38.4049908,-107.4078353,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200199907141310^01,7/14/1999,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_381934107133500199908181330^01,8/18/1999,,,38.32610537,-107.2269997,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382943107015300199910041550^01,10/4/1999,,,38.49526864,-107.0319914,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383137107183600199912071440^01,12/7/1999,,,38.52693624,-107.3106108,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382943107015300199908121350^01,8/12/1999,,,38.49526864,-107.0319914,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000200007191045^01,7/19/2000,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200200004121240^01,4/12/2000,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
21COL001_WQX-20014016001-20000606_S-IVP,6/6/2000,,,37.673611,-105.722222,"Chlorophyll a, corrected for pheophytin",5.8,ug/L
21COL001_WQX-20014019001-20000606_S-IVP,6/6/2000,,,37.667121,-105.731023,"Chlorophyll a, corrected for pheophytin",5.8,ug/L
21COL001_WQX-20014021001-20000927_S-IVP,9/27/2000,,,37.667121,-105.731023,"Chlorophyll a, corrected for pheophytin",33.8,ug/L
21COL001_WQX-20014003001-20000928_S-IVP,9/28/2000,,,37.58887,-106.65858,"Chlorophyll a, corrected for pheophytin",27.1,ug/L
11NPSWRD_WQX-BLCA_09128000200002281600^01,2/28/2000,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
21COL001_WQX-20014026001-20000613_S-IVP,6/13/2000,,,39.08517,-106.33782,"Chlorophyll a, corrected for pheophytin",1.9,ug/L
21COL001_WQX-20014004001-20000608_S-IVP,6/8/2000,,,37.59476,-106.66616,"Chlorophyll a, corrected for pheophytin",3.5,ug/L
21COL001_WQX-20014009001-20000503_S-IVP,5/3/2000,,,40.434734,-103.339582,"Chlorophyll a, corrected for pheophytin",163.6,ug/L
21COL001_WQX-20014028001-20000613_S-IVP,6/13/2000,,,39.07975,-106.36268,"Chlorophyll a, corrected for pheophytin",1.1,ug/L
11NPSWRD_WQX-BLCA_09128000200003211230^01,3/21/2000,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
21COL001_WQX-20014012001-20000607_S-IVP,6/7/2000,,,37.33776,-106.56879,"Chlorophyll a, corrected for pheophytin",2.8,ug/L
21COL001_WQX-20014006001-20000928_S-IVP,9/28/2000,,,37.59476,-106.66616,"Chlorophyll a, corrected for pheophytin",109.9,ug/L
21COL001_WQX-20014010001-20000503_S-IVP,5/3/2000,,,40.431328,-103.334861,"Chlorophyll a, corrected for pheophytin",164,ug/L
21COL001_WQX-20014018001-20000927_S-IVP,9/27/2000,,,37.673611,-105.722222,"Chlorophyll a, corrected for pheophytin",59.2,ug/L
21COL001_WQX-20014001001-20000608_S-IVP,6/8/2000,,,37.58887,-106.65858,"Chlorophyll a, corrected for pheophytin",3.5,ug/L
21COL001_WQX-20014014001-20000607_S-IVP,6/7/2000,,,37.34892,-106.54762,"Chlorophyll a, corrected for pheophytin",5.6,ug/L
11NPSWRD_WQX-CURE_382943107015300200108070935,8/7/2001,,,38.49526864,-107.0319914,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382829107122200_200107231005^02,7/23/2001,,,38.4747148,-107.2067198,"Chlorophyll a, uncorrected for pheophytin",0.75,ug/L
11NPSWRD_WQX-CURE_09125000200112111031^01,12/11/2001,,,38.4877673,-107.415057,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000200111071233^01,11/7/2001,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383028107162200200108211204^01,8/21/2001,,,38.5077701,-107.2733881,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382900107101600200108080835^01,8/8/2001,,,38.48332555,-107.1717185,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382856107050000200111290847^03,11/29/2001,1,m,38.4822137,-107.0839377,"Chlorophyll a, uncorrected for pheophytin",4.522,ug/L
11NPSWRD_WQX-CURE_09127000200108141252^01,8/14/2001,,,38.44637698,-107.555614,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383024107371800200110231141^01,10/23/2001,,,38.5066535,-107.6222804,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382829107122200200108211013^01,8/21/2001,1,m,38.4747148,-107.2067198,Floating algae mat - severity (choice list),NONE,
COEOMAHA_WQX-CHT08CHL172514250000L,7/25/2001,0,m,39.5514,-105.0611,Pheophytin a,1,ug/L
11NPSWRD_WQX-CURE_381934107133500200111201052^01,11/20/2001,,,38.32610537,-107.2269997,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382644107271000200108130949^01,8/13/2001,,,38.44554497,-107.4533912,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_381934107133500200110111055^01,10/11/2001,,,38.32610537,-107.2269997,Floating algae mat - severity (choice list),NONE,
COEOMAHA_WQX-CHT08CHL172514250020L,7/25/2001,2,m,39.5514,-105.0611,Chlorophyll a,28,ug/L
11NPSWRD_WQX-CURE_382702107315400200108131041^01,8/13/2001,,,38.45054376,-107.5322807,Floating algae mat - severity (choice list),NONE,
COEOMAHA_WQX-CHT08CHL182309100000L,8/23/2001,0,m,39.5514,-105.0611,Chlorophyll a,5,ug/L
11NPSWRD_WQX-CURE_381633107054700200108091034^01,8/9/2001,,,38.27582757,-107.0969952,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383024107371800200108281147^01,8/28/2001,,,38.5066535,-107.6222804,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382900107101600200111191039^01,11/19/2001,,,38.48332555,-107.1717185,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382644107271000200110241100^01,10/24/2001,,,38.44554497,-107.4533912,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_381633107054700200111201023^01,11/20/2001,,,38.27582757,-107.0969952,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383028107162200200110161248^01,10/16/2001,,,38.5077701,-107.2733881,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382856107050000200111290847^01,11/29/2001,1,m,38.4822137,-107.0839377,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382831107172600200111291144^01,11/29/2001,1,m,38.47526994,-107.2911664,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382831107172600200108211058^03,8/21/2001,1,m,38.47526994,-107.2911664,"Chlorophyll a, uncorrected for pheophytin",1.28,ug/L
11NPSWRD_WQX-CURE_382856107050000_200107230850^02,7/23/2001,,,38.4822137,-107.0839377,"Chlorophyll a, uncorrected for pheophytin",1.244,ug/L
11NPSWRD_WQX-CURE_382829107122200200111290932^01,11/29/2001,1,m,38.4747148,-107.2067198,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382937107033500200108071055^01,8/7/2001,,,38.49360224,-107.0603257,Floating algae mat - severity (choice list),NONE,
COEOMAHA_WQX-CCR080004A2513050000L,10/25/2001,0,m,39.65,-104.8528,Chlorophyll a,5.2,ug/L
11NPSWRD_WQX-CURE_382924107352300200111071017^01,11/7/2001,,,38.48998719,-107.590336,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382856107050000200110160859^01,10/16/2001,1,m,38.4822137,-107.0839377,Floating algae mat - severity (choice list),MILD,
11NPSWRD_WQX-CURE_382418107242600200108141050^01,8/14/2001,,,38.4049908,-107.4078353,Floating algae mat - severity (choice list),NONE,
COEOMAHA_WQX-CCR08000482210500000L,8/22/2001,0,m,39.65,-104.8528,Chlorophyll a,3,ug/L
11NPSWRD_WQX-CURE_383028107162200200111291047^01,11/29/2001,,,38.5077701,-107.2733881,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382937107033500200110040932^01,10/4/2001,,,38.49360224,-107.0603257,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382702107203900200110111249^01,10/11/2001,,,38.45054696,-107.3447785,Floating algae mat - severity (choice list),NONE,
COEOMAHA_WQX-CCR080004A2513050000L,10/25/2001,0,m,39.65,-104.8528,Chlorophyll a,5.2,ug/L
11NPSWRD_WQX-CURE_382856107050000200110160859^03,10/16/2001,1,m,38.4822137,-107.0839377,"Chlorophyll a, uncorrected for pheophytin",3.467,ug/L
11NPSWRD_WQX-CURE_382856107050000200108210934^03,8/21/2001,1,m,38.4822137,-107.0839377,"Chlorophyll a, uncorrected for pheophytin",11.12,ug/L
11NPSWRD_WQX-CURE_382702107315400200110241312^01,10/24/2001,,,38.45054376,-107.5322807,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_383537107471500200110181209^01,10/18/2001,,,38.5935966,-107.7881153,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382943107015300200110031415^01,10/3/2001,,,38.49526864,-107.0319914,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000200108281324^01,8/28/2001,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382900107101600200110041125^01,10/4/2001,,,38.48332555,-107.1717185,Floating algae mat - severity (choice list),NONE,
21COL001_WQX-20024004001-20010620_S-IVP,6/20/2001,,,40.411232,-103.386862,"Chlorophyll a, corrected for pheophytin",195.4,ug/L
11NPSWRD_WQX-CURE_382831107172600200111291144^03,11/29/2001,1,m,38.47526994,-107.2911664,"Chlorophyll a, uncorrected for pheophytin",2.89,ug/L
11NPSWRD_WQX-CURE_382831107172600200108211058^01,8/21/2001,1,m,38.47526994,-107.2911664,Floating algae mat - severity (choice list),NONE,
21COL001_WQX-20024001001-20010620_S-IVP,6/20/2001,,,40.434734,-103.339582,"Chlorophyll a, corrected for pheophytin",157.1,ug/L
COEOMAHA_WQX-CHT08CHI2A2413550000L,10/24/2001,0,m,39.5117,-105.0244,Chlorophyll a,4,ug/L
11NPSWRD_WQX-CURE_382702107203900200111271142^01,11/27/2001,,,38.45054696,-107.3447785,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382702107315400200111081202^01,11/8/2001,,,38.45054376,-107.5322807,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382829107122200200108211013^03,8/21/2001,1,m,38.4747148,-107.2067198,"Chlorophyll a, uncorrected for pheophytin",1.984,ug/L
11NPSWRD_WQX-CURE_382924107352300200110231038^01,10/23/2001,,,38.48998719,-107.590336,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382831107172600200110161124^03,10/16/2001,1,m,38.47526994,-107.2911664,"Chlorophyll a, uncorrected for pheophytin",1.338,ug/L
11NPSWRD_WQX-CURE_382943107015300200111051045^01,11/5/2001,,,38.49526864,-107.0319914,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382937107033500200111051157^01,11/5/2001,,,38.49360224,-107.0603257,Floating algae mat - severity (choice list),NONE,
COEOMAHA_WQX-CHT08CHL172514250090L,7/25/2001,9,m,39.5514,-105.0611,Pheophytin a,48,ug/L
11NPSWRD_WQX-CURE_381633107054700200110110934^01,10/11/2001,,,38.27582757,-107.0969952,Floating algae mat - severity (choice list),NONE,
COEOMAHA_WQX-CHT08CHL172514250090L,7/25/2001,9,m,39.5514,-105.0611,Chlorophyll a,1,ug/L
11NPSWRD_WQX-CURE_382829107122200200110161014^01,10/16/2001,1,m,38.4747148,-107.2067198,Floating algae mat - severity (choice list),MILD,
11NPSWRD_WQX-CURE_09127000200111261109^01,11/26/2001,,,38.44637698,-107.555614,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_09127000200110101015^01,10/10/2001,,,38.44637698,-107.555614,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_09125000200110171235^01,10/17/2001,,,38.4877673,-107.415057,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382924107352300200108281038^01,8/28/2001,,,38.48998719,-107.590336,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382856107050000200108210934^01,8/21/2001,1,m,38.4822137,-107.0839377,Floating algae mat - severity (choice list),MILD,
21COL001_WQX-20024005001-20010620_S-IVP,6/20/2001,,,40.420464,-103.378205,"Chlorophyll a, corrected for pheophytin",170.6,ug/L
11NPSWRD_WQX-CURE_383024107371800200111071100^01,11/7/2001,,,38.5066535,-107.6222804,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382644107271000200111080910^01,11/8/2001,,,38.44554497,-107.4533912,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383137107183600200108151001^01,8/15/2001,,,38.52693624,-107.3106108,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_383537107471500200108231047^01,8/23/2001,,,38.5935966,-107.7881153,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382831107172600_200107231114^02,7/23/2001,,,38.47526994,-107.2911664,"Chlorophyll a, uncorrected for pheophytin",0.889,ug/L
11NPSWRD_WQX-CURE_382902107140400200108081005^01,8/8/2001,,,38.4838816,-107.235054,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382831107172600200110161124^01,10/16/2001,1,m,38.47526994,-107.2911664,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_381934107133500200108091131^01,8/9/2001,,,38.32610537,-107.2269997,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382902107140400200110041243^01,10/4/2001,,,38.4838816,-107.235054,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383137107183600200112060941^01,12/6/2001,,,38.52693624,-107.3106108,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_383537107471500200111061149^01,11/6/2001,,,38.5935966,-107.7881153,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000200110251224^01,10/25/2001,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382702107203900200108131229^01,8/13/2001,,,38.45054696,-107.3447785,Floating algae mat - severity (choice list),NONE,
21COL001_WQX-20024002001-20010620_S-IVP,6/20/2001,,,40.431328,-103.334861,"Chlorophyll a, corrected for pheophytin",179.9,ug/L
